City,State,E,N,A,C,O
Abbeville,Louisiana,-0.0,0.02,0.04,-0.03,-0.04
Aberdeen,Maryland,-0.04,0.08,-0.07,-0.03,-0.07
Aberdeen,South Dakota,-0.03,0.04,0.02,-0.01,-0.03
Aberdeen,Washington,-0.04,-0.01,-0.02,-0.01,0.01
Abilene,Kansas,-0.04,0.11,0.01,-0.03,-0.07
Abilene,Texas,-0.06,0.08,0.03,0.06,-0.02
Abingdon,Maryland,-0.05,0.08,0.0,-0.02,0.03
Abingdon,Virginia,-0.03,0.1,-0.01,-0.0,0.05
Abington,Massachusetts,0.01,0.05,-0.0,-0.02,0.02
Abington,Pennsylvania,0.01,0.0,0.01,-0.02,-0.02
Acton,Massachusetts,-0.02,0.03,-0.04,-0.04,-0.03
Acworth,Georgia,0.02,-0.05,0.08,0.03,-0.08
Ada,Oklahoma,-0.02,0.04,0.01,0.01,-0.03
Addison,Illinois,0.01,0.03,0.01,-0.01,-0.09
Adrian,Michigan,-0.01,0.04,0.0,-0.01,-0.03
Affton,Missouri,-0.01,0.05,0.02,-0.01,-0.1
Agawam,Massachusetts,0.01,0.07,-0.04,-0.01,0.0
Agoura Hills,California,0.04,-0.03,0.06,-0.02,0.05
Ahwatukee,Arizona,0.01,-0.01,0.02,-0.01,0.06
Aiea,Hawaii,-0.02,-0.03,0.08,-0.0,0.03
Aiken,South Carolina,-0.08,0.12,0.0,-0.01,-0.09
Akron,Ohio,-0.02,0.03,-0.08,0.05,0.0
Akron,Ohio,-0.02,0.03,-0.08,0.05,0.0
Alabaster,Alabama,-0.02,-0.06,0.07,0.01,0.01
Alameda,California,-0.02,0.01,-0.04,-0.04,0.09
Alamogordo,New Mexico,-0.07,0.05,-0.03,0.03,-0.06
Albany,California,-0.0,0.05,-0.0,-0.04,0.03
Albany,Georgia,0.03,-0.06,-0.03,0.05,0.02
Albany,New York,0.03,0.02,-0.07,0.03,0.08
Albany,Oregon,-0.03,0.0,0.04,-0.02,-0.07
Albemarle,North Carolina,-0.02,0.02,0.0,0.02,-0.06
Albert Lea,Minnesota,-0.01,-0.03,0.08,0.0,-0.1
Albertville,Alabama,-0.05,0.03,0.02,0.02,-0.1
Albion,Michigan,-0.04,0.03,0.01,-0.02,-0.02
Albion,New York,0.0,0.02,-0.04,0.03,-0.11
Albuquerque,New Mexico,-0.05,-0.01,0.04,0.04,0.12
Aledo,Texas,-0.02,0.02,0.02,-0.05,0.04
Alexander City,Alabama,0.02,0.01,0.03,-0.01,0.03
Alexandria,Kentucky,-0.01,0.03,0.01,0.02,-0.01
Alexandria,Louisiana,0.04,-0.01,0.01,0.03,-0.01
Alexandria,Minnesota,-0.02,-0.02,0.04,-0.01,-0.01
Alexandria,Virginia,-0.01,0.04,-0.08,-0.03,0.02
Algonquin,Illinois,-0.01,-0.0,0.07,-0.02,0.04
Alhambra,California,-0.06,0.03,0.01,-0.1,-0.12
Alice,Texas,-0.01,0.0,0.04,0.0,-0.03
Aliquippa,Pennsylvania,0.0,0.05,-0.06,0.01,-0.1
Aliso Viejo,California,-0.04,-0.02,0.05,-0.02,-0.02
Allegan,Michigan,-0.02,0.0,0.04,-0.01,-0.11
Allen Park,Michigan,0.02,-0.04,0.13,0.0,-0.0
Allen,Texas,0.01,-0.04,0.14,-0.02,-0.03
Allendale,Michigan,0.01,0.04,0.06,-0.04,-0.02
Allentown,Pennsylvania,-0.03,0.06,0.02,-0.03,-0.0
Alliance,Nebraska,-0.02,0.04,0.02,-0.0,-0.03
Alliance,Ohio,-0.02,0.04,0.02,-0.01,-0.04
Alma,Arkansas,-0.03,0.06,0.03,-0.03,-0.0
Alma,Michigan,-0.04,0.08,0.01,-0.01,-0.07
Aloha,Oregon,-0.02,-0.02,0.08,-0.02,-0.01
Alpena,Michigan,-0.05,0.06,-0.04,-0.01,-0.02
Alpharetta,Georgia,0.01,0.0,0.01,-0.0,-0.03
Alpine,Utah,-0.03,0.02,0.05,0.01,-0.01
Alsip,Illinois,-0.02,0.02,0.02,-0.0,0.03
Alta Loma,California,-0.02,0.03,-0.02,-0.02,-0.04
Altadena,California,-0.04,0.04,0.03,-0.01,0.04
Altamonte Springs,Florida,0.02,0.02,0.01,-0.02,0.03
Alton,Illinois,0.02,-0.05,0.03,0.02,-0.02
Altoona,Iowa,-0.03,0.05,0.02,-0.03,-0.09
Altoona,Pennsylvania,-0.02,0.11,-0.01,-0.01,-0.1
Altus,Oklahoma,-0.05,0.02,0.01,0.02,-0.05
Alvin,Texas,-0.03,0.04,0.02,0.01,0.06
Amarillo,Texas,-0.03,0.05,0.06,0.02,-0.01
Ambler,Pennsylvania,-0.01,-0.01,-0.01,-0.02,-0.08
American Canyon,California,-0.02,0.02,-0.0,-0.02,-0.03
American Fork,Utah,-0.06,-0.02,0.11,-0.03,-0.04
Americus,Georgia,0.03,-0.06,0.04,0.0,-0.03
Ames,Iowa,-0.01,0.0,0.05,-0.04,-0.0
Amesbury,Massachusetts,-0.02,0.03,0.04,-0.03,-0.03
Amherst,Massachusetts,0.02,-0.02,0.01,-0.01,0.1
Amherst,New York,-0.03,0.03,0.04,-0.0,-0.05
Amherst,Ohio,0.03,0.02,0.06,0.05,0.02
Amityville,New York,-0.01,-0.02,-0.03,0.0,-0.03
Amory,Mississippi,-0.02,0.07,0.02,0.01,-0.03
Amsterdam,New York,-0.03,0.05,0.03,-0.0,-0.04
Anacortes,Washington,-0.01,0.02,0.06,-0.01,-0.01
Anaheim Hills,California,0.06,0.01,-0.0,0.0,0.03
Anaheim,California,-0.04,-0.04,0.01,-0.1,0.07
Anchorage,Alaska,-0.03,-0.07,0.05,-0.0,0.1
Andalusia,Alabama,-0.03,0.04,-0.0,-0.01,-0.01
Anderson,California,-0.02,0.0,0.05,-0.01,-0.09
Anderson,Indiana,-0.03,-0.02,0.09,0.07,-0.01
Anderson,South Carolina,0.03,0.0,0.07,0.01,-0.03
Andover,Kansas,0.01,-0.03,0.08,0.01,-0.07
Andover,Massachusetts,0.01,0.02,0.01,0.01,-0.03
Andover,Minnesota,-0.01,0.04,0.0,-0.04,-0.14
Angleton,Texas,0.0,-0.01,0.03,-0.01,-0.02
Angola,Indiana,-0.01,0.04,0.04,0.02,-0.01
Ankeny,Iowa,0.03,-0.03,0.02,0.0,-0.03
Ann Arbor,Michigan,-0.04,-0.01,-0.01,-0.03,0.16
Annandale,Virginia,-0.04,-0.04,0.04,-0.04,0.04
Annapolis,Maryland,0.02,0.01,-0.07,-0.0,-0.01
Anniston,Alabama,-0.0,0.03,0.06,0.05,-0.01
Anoka,Minnesota,-0.0,-0.05,0.06,0.01,-0.02
Ansonia,Connecticut,0.0,0.02,0.02,0.01,-0.07
Antelope,California,-0.05,0.01,0.07,-0.01,-0.02
Antigo,Wisconsin,0.01,-0.01,-0.02,-0.02,-0.03
Antioch,California,-0.06,0.01,-0.02,-0.02,-0.02
Antioch,Illinois,-0.01,0.02,0.01,0.01,-0.07
Antioch,Tennessee,-0.01,0.06,-0.01,-0.02,-0.01
Apache Junction,Arizona,0.01,-0.02,0.02,0.01,0.01
Apex,North Carolina,0.01,0.01,0.05,-0.03,-0.07
Apopka,Florida,-0.03,0.09,0.02,-0.01,-0.01
Apple Valley,California,0.03,-0.06,0.13,0.02,0.12
Apple Valley,Minnesota,-0.08,0.05,-0.05,-0.04,-0.18
Appleton,Wisconsin,-0.06,0.0,0.01,-0.01,-0.1
Aptos,California,0.02,0.05,0.03,0.01,0.01
Arab,Alabama,0.01,-0.01,0.08,0.02,-0.14
Arcadia,California,-0.02,-0.02,0.04,-0.05,-0.02
Arcata,California,-0.02,-0.05,0.05,-0.03,0.07
Ardmore,Oklahoma,0.02,0.04,-0.03,-0.04,0.02
Arkadelphia,Arkansas,-0.01,0.02,-0.05,-0.02,-0.1
Arkansas City,Kansas,0.0,0.02,0.01,-0.02,-0.01
Arlington Heights,Illinois,0.03,-0.07,0.04,0.04,-0.0
Arlington,Massachusetts,0.0,-0.0,-0.02,-0.05,-0.04
Arlington,Texas,-0.01,-0.05,0.03,-0.01,-0.0
Arlington,Virginia,-0.0,-0.05,0.02,-0.03,0.07
Arlington,Washington,0.0,0.02,0.03,-0.04,-0.03
Armada,Michigan,0.03,-0.01,0.01,0.01,0.01
Arnold,Maryland,0.0,0.04,0.0,-0.06,-0.08
Arnold,Missouri,0.03,0.06,0.04,-0.04,-0.01
Arroyo Grande,California,-0.05,0.06,-0.01,0.0,0.02
Artesia,California,-0.01,0.02,0.06,-0.01,-0.03
Arvada,Colorado,-0.02,-0.06,0.1,0.07,-0.02
Asbury Park,New Jersey,-0.0,-0.06,0.0,0.01,-0.01
Ashburn,Virginia,-0.01,0.01,0.1,-0.04,-0.08
Asheboro,North Carolina,0.01,-0.02,0.1,0.03,-0.04
Asheville,North Carolina,-0.07,0.04,0.05,0.0,0.01
Ashland,Kentucky,-0.06,0.15,-0.04,-0.01,-0.05
Ashland,Massachusetts,-0.0,0.0,0.04,-0.01,-0.02
Ashland,Ohio,-0.0,0.02,0.03,-0.0,-0.07
Ashland,Oregon,-0.04,0.09,0.0,-0.03,0.09
Ashland,Virginia,-0.02,0.02,0.04,-0.0,-0.1
Ashland,Wisconsin,0.0,0.01,0.04,0.01,-0.03
Ashtabula,Ohio,-0.05,0.09,-0.04,0.05,-0.03
Ashville,Ohio,-0.01,-0.01,0.07,0.0,-0.08
Aston,Pennsylvania,0.02,0.06,-0.03,0.0,-0.09
Astoria,New York,0.01,0.08,-0.11,-0.04,0.09
Astoria,Oregon,0.01,-0.03,0.05,0.0,0.05
Atascadero,California,0.01,-0.06,0.05,-0.02,0.04
Atchison,Kansas,-0.04,0.06,-0.02,-0.02,-0.09
Atco,New Jersey,-0.0,0.05,-0.05,-0.04,-0.04
Athens,Alabama,-0.0,0.03,0.04,0.0,-0.07
Athens,Georgia,0.03,0.02,0.01,0.03,0.08
Athens,Ohio,0.01,-0.02,0.05,-0.02,-0.04
Athens,Tennessee,-0.03,0.09,0.04,-0.02,-0.08
Athens,Texas,-0.0,0.05,0.03,0.0,0.03
Atlanta,Georgia,0.13,-0.16,-0.09,0.05,0.11
Atlantic City,New Jersey,0.06,-0.06,-0.09,-0.01,0.02
Attleboro,Massachusetts,-0.01,0.02,-0.0,0.02,-0.1
Atwater,California,-0.02,0.04,0.03,0.0,-0.06
Auburn Hills,Michigan,-0.01,0.07,-0.0,-0.03,0.03
Auburn,Alabama,0.04,-0.04,0.05,0.05,0.02
Auburn,California,-0.01,0.06,0.03,-0.03,-0.02
Auburn,Indiana,-0.01,0.02,0.02,-0.01,-0.08
Auburn,Maine,-0.02,0.05,0.04,0.0,-0.04
Auburn,Massachusetts,-0.03,0.03,-0.03,-0.03,-0.06
Auburn,New York,-0.04,0.06,-0.03,-0.02,-0.1
Auburn,Washington,0.06,-0.02,0.12,0.02,-0.07
Auburndale,Florida,-0.03,0.09,-0.01,-0.03,-0.09
Augusta,Georgia,0.04,-0.06,-0.01,0.11,0.09
Augusta,Kansas,-0.01,0.04,0.05,0.0,-0.01
Augusta,Maine,0.01,-0.0,0.03,0.01,-0.0
Aurora,Colorado,-0.0,-0.02,0.03,0.01,0.02
Aurora,Illinois,-0.02,-0.05,-0.0,-0.04,0.01
Aurora,Ohio,0.02,0.02,0.06,-0.01,-0.07
Austell,Georgia,0.01,0.03,0.06,0.0,-0.03
Austin,Minnesota,-0.04,-0.02,0.06,0.02,-0.06
Austin,Texas,0.02,-0.05,0.03,-0.02,0.12
Austintown,Ohio,-0.01,0.05,-0.05,-0.05,-0.01
Australia Landing,Mississippi,-0.02,0.07,0.02,-0.02,-0.04
Avon Lake,Ohio,0.01,-0.01,0.01,-0.02,0.0
Avon Park,Florida,-0.02,-0.03,0.03,-0.01,-0.07
Avon,Indiana,-0.01,0.02,-0.0,-0.01,-0.08
Avon,Ohio,-0.01,-0.01,0.09,0.02,0.01
Avondale,Arizona,0.01,0.01,-0.03,-0.01,-0.1
Azle,Texas,-0.0,0.03,0.02,-0.01,-0.01
Aztec,New Mexico,-0.03,0.01,0.03,0.03,-0.07
Azusa,California,-0.01,-0.03,-0.02,-0.02,0.04
Babylon,New York,0.01,0.02,0.03,-0.03,-0.0
Bainbridge Island,Washington,-0.04,0.07,-0.01,-0.03,-0.01
Bainbridge,Georgia,-0.01,-0.02,0.04,0.01,0.0
Baker,Louisiana,0.01,0.04,0.0,-0.02,-0.04
Bakersfield,California,-0.02,-0.0,0.03,0.0,-0.04
Baldwin Park,California,-0.0,0.03,-0.02,-0.08,-0.01
Baldwin,New York,0.03,0.02,0.01,0.01,-0.07
Baldwin,Wisconsin,0.01,-0.01,0.06,-0.01,-0.01
Baldwinsville,New York,0.04,0.02,0.09,-0.02,-0.01
Ballston Spa,New York,-0.06,0.02,0.01,-0.03,-0.1
Ballwin,Missouri,-0.01,0.05,0.01,-0.0,-0.07
Baltimore,Maryland,0.06,-0.07,-0.12,0.03,0.07
Bangor,Maine,-0.02,0.03,0.02,-0.0,-0.08
Bangor,Pennsylvania,-0.04,0.1,-0.01,-0.01,-0.02
Baraboo,Wisconsin,0.02,0.02,0.07,-0.03,0.01
Barberton,Ohio,-0.02,0.07,0.04,-0.01,-0.11
Bardstown,Kentucky,-0.05,0.08,0.04,-0.01,-0.1
Barnegat,New Jersey,-0.02,0.05,0.01,0.01,-0.04
Barre,Vermont,-0.03,0.04,-0.0,-0.0,-0.05
Barrington,Illinois,0.02,0.03,-0.01,-0.01,-0.01
Barrington,Rhode Island,-0.02,0.03,-0.05,-0.01,-0.05
Barstow,California,0.01,-0.03,-0.01,-0.01,0.04
Bartlesville,Oklahoma,0.04,0.02,0.08,0.01,-0.03
Bartlett,Illinois,0.02,0.03,-0.02,-0.05,-0.06
Bartlett,Tennessee,-0.04,0.01,0.0,-0.0,-0.11
Bartonville,Illinois,-0.03,0.04,-0.02,-0.01,-0.08
Bartow,Florida,0.0,-0.01,0.01,0.01,0.04
Basking Ridge,New Jersey,0.0,0.02,0.04,-0.03,-0.01
Bastrop,Louisiana,-0.01,0.07,0.03,-0.01,-0.07
Bastrop,Texas,-0.01,0.05,-0.0,-0.04,0.01
Batavia,Illinois,-0.02,-0.0,0.09,-0.02,-0.05
Batavia,New York,-0.01,0.02,-0.03,0.02,-0.14
Batavia,Ohio,-0.01,0.02,0.02,-0.01,-0.08
Batesville,Arkansas,-0.0,0.02,0.08,0.03,0.02
Batesville,Indiana,-0.04,0.04,-0.04,0.01,-0.09
Bath,Maine,-0.0,-0.0,0.01,0.01,0.01
Baton Rouge,Louisiana,0.09,-0.07,-0.01,-0.0,0.06
Battle Creek,Michigan,-0.0,0.03,0.04,-0.03,-0.05
Battle Ground,Washington,-0.02,0.04,-0.0,-0.03,-0.03
Baxter Springs,Kansas,0.03,0.01,0.01,0.02,-0.05
Bay City,Michigan,-0.01,0.01,0.09,0.06,-0.14
Bay City,Texas,0.01,-0.0,0.05,0.02,0.02
Bay Shore,New York,-0.05,0.05,0.03,-0.03,0.01
Bay Village,Ohio,-0.01,0.03,0.01,0.01,-0.01
Bayonne,New Jersey,-0.02,0.07,-0.12,-0.04,0.03
Bayport,New York,-0.01,0.02,0.04,-0.01,0.03
Bayside,New York,0.01,0.09,-0.07,-0.05,-0.01
Baytown,Texas,-0.04,0.03,0.03,0.01,-0.05
Bayville,New Jersey,-0.0,0.08,-0.02,0.0,-0.05
Beachwood,New Jersey,-0.01,-0.02,-0.01,0.01,0.03
Beacon,New York,0.01,0.1,-0.04,-0.03,-0.05
Bear,Delaware,-0.01,0.03,0.0,-0.03,-0.02
Beatrice,Nebraska,-0.03,0.02,0.05,0.0,-0.12
Beaufort,South Carolina,0.04,-0.03,0.03,0.02,0.07
Beaumont,Texas,0.02,-0.03,0.02,0.05,0.01
Beaver Dam,Wisconsin,0.01,0.02,0.03,-0.02,-0.08
Beaver Falls,Pennsylvania,-0.0,0.05,0.02,0.0,0.02
Beaver,Pennsylvania,0.0,0.04,-0.01,0.03,-0.04
Beavercreek,Ohio,0.01,0.03,0.04,0.0,0.0
Beaverton,Oregon,-0.05,-0.02,0.09,-0.02,-0.02
Becker,Minnesota,0.01,0.04,0.07,-0.04,-0.06
Beckley,West Virginia,-0.0,0.05,0.06,0.06,-0.06
Bedford,Indiana,0.02,-0.02,0.02,0.02,-0.11
Bedford,New Hampshire,-0.01,0.03,0.04,-0.0,-0.03
Bedford,Ohio,-0.02,0.02,0.06,0.04,0.01
Bedford,Texas,-0.02,0.05,0.01,-0.0,-0.01
Bedford,Virginia,-0.0,0.07,0.02,-0.0,0.02
Beebe,Arkansas,0.0,0.04,0.03,-0.0,-0.07
Beech Grove,Indiana,0.01,0.03,0.03,0.0,-0.04
Beeville,Texas,-0.03,0.04,-0.02,-0.02,0.06
Bel Air,Maryland,0.03,-0.05,0.05,-0.0,-0.02
Belchertown,Massachusetts,-0.03,0.05,0.0,-0.02,-0.05
Belding,Michigan,-0.02,0.04,0.01,-0.02,-0.11
Belgrade,Montana,-0.04,0.03,0.01,-0.01,0.0
Bell Gardens,California,-0.04,0.03,-0.03,-0.01,-0.06
Bellbrook,Ohio,-0.01,0.03,0.03,-0.01,-0.05
Belle Vernon,Pennsylvania,0.02,-0.02,0.02,-0.0,-0.06
Bellefontaine,Ohio,0.01,-0.02,0.0,0.02,0.02
Bellefonte,Pennsylvania,0.01,0.05,-0.03,-0.01,-0.03
Bellerose,New York,0.01,0.01,-0.04,-0.02,-0.07
Belleville,Illinois,0.01,0.02,0.04,0.03,-0.01
Belleville,Michigan,0.01,0.0,0.04,0.04,-0.05
Belleville,New Jersey,0.04,0.04,-0.04,0.04,0.02
Bellevue,Nebraska,-0.01,0.01,0.07,0.02,-0.06
Bellevue,Washington,-0.03,-0.02,0.07,-0.04,-0.04
Bellflower,California,-0.03,-0.05,0.06,-0.01,0.04
Bellingham,Washington,-0.1,-0.02,0.11,-0.03,0.07
Bellmore,New York,-0.04,0.09,0.01,0.01,-0.02
Bellport,New York,-0.02,0.02,0.0,-0.01,0.04
Belmont,California,0.0,0.02,0.07,0.0,0.01
Belmont,Massachusetts,0.03,-0.02,0.09,0.0,0.06
Belmont,North Carolina,-0.03,0.02,0.07,0.01,-0.01
Beloit,Wisconsin,-0.0,0.01,-0.02,-0.01,-0.13
Belton,Missouri,-0.04,0.03,-0.02,-0.0,-0.05
Belton,Texas,0.04,0.05,-0.05,-0.01,-0.04
Beltsville,Maryland,-0.01,-0.01,0.04,-0.02,-0.01
Belvidere,Illinois,-0.03,0.09,0.04,-0.02,-0.06
Bemidji,Minnesota,-0.03,-0.07,0.05,-0.04,-0.03
Bend,Oregon,-0.08,-0.07,0.08,0.01,-0.11
Benicia,California,0.01,-0.03,0.01,-0.02,0.06
Bennington,Vermont,-0.01,-0.0,0.07,-0.01,-0.05
Bensalem,Pennsylvania,-0.01,0.06,-0.03,-0.01,-0.05
Bensenville,Illinois,-0.02,0.05,0.02,-0.02,-0.0
Benton Harbor,Michigan,0.02,0.02,-0.02,-0.01,-0.11
